dataset,cover_model,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
lastfm,backoff,forest,0.07110000000000001,0.0002236067977499807,5,0.507596779,0.0019476775933223499,0.504548115,0.5097271149999999,0.50393,0.0012199385230412202,0.5019,0.50515,0.49623,0.0011930004191114001,0.49485,0.49815
lastfm,backoff,linear,0.07110000000000001,0.0002236067977499807,5,0.502977809,0.0004434430603161107,0.502538075,0.5037235250000001,0.5014000000000001,0.0003162277660168514,0.50115,0.50195,0.49856999999999996,0.0003114482300479581,0.49805,0.49885
lastfm,backoff,mlp,0.07110000000000001,0.0002236067977499807,5,0.502400511,0.0008304263464359497,0.50152779,0.50318906,0.5012700000000001,0.0006320601237224063,0.5005000000000001,0.502,0.49904000000000004,0.0007544865803975271,0.4983,0.5001
lastfm,gru,forest,0.00034,0.00045607017003965525,5,0.5000803030000001,0.0001310790959497271,0.5,0.50030166,0.50004,6.519202405201931e-05,0.5,0.50015,0.49996,6.519202405201931e-05,0.49985,0.5
lastfm,gru,linear,0.00034,0.00045607017003965525,5,0.500099945,0.00017308816958419308,0.5,0.50039973,0.50005,8.660254037843432e-05,0.5,0.5002,0.49995,8.660254037843432e-05,0.4998,0.5
lastfm,gru,mlp,0.00034,0.00045607017003965525,5,0.500079682,0.00012981711277789272,0.499999815,0.5002985849999999,0.50004,6.519202405201931e-05,0.5,0.50015,0.49996,6.519202405201931e-05,0.49985,0.5
lastfm,temporal_graph_encoder,forest,0.0,0.0,5,0.5,2.7755575615628914e-17,0.49999999999999994,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
lastfm,temporal_graph_encoder,linear,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
lastfm,temporal_graph_encoder,mlp,0.0,0.0,5,0.500000001,4.183300100611642e-09,0.49999999500000003,0.500000005,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
lastfm,transformer,forest,0.00041999999999999996,0.0006572670690061993,5,0.5002989170000001,0.0004773857782967682,0.5,0.50109475,0.50015,0.00023979157616560958,0.5,0.5005499999999999,0.49985,0.00023979157616563272,0.49945,0.5
lastfm,transformer,linear,0.00041999999999999996,0.0006572670690061993,5,0.5002997730000001,0.00047917551241169536,0.5,0.501099045,0.50015,0.00023979157616565587,0.5,0.50055,0.49985,0.00023979157616560958,0.49945000000000006,0.5
lastfm,transformer,mlp,0.00041999999999999996,0.0006572670690061993,5,0.50026112,0.00047684585254309275,0.49999999,0.5010989750000001,0.50012,0.0002413503677229663,0.5,0.50055,0.4998699999999999,0.00023874672772626282,0.49945,0.5
mooc,backoff,forest,0.034319999999999996,0.0007918333157931658,5,0.505217535,0.0004758944261466889,0.504709055,0.5057134799999999,0.5025999999999999,0.0003259601202601519,0.50215,0.5029,0.49733,0.0003174114049620868,0.49705,0.49785
mooc,backoff,linear,0.034319999999999996,0.0007918333157931658,5,0.5007965839999999,0.0005220441834317909,0.500196815,0.50144384,0.50051,0.0004144273157020553,0.50005,0.50095,0.49959,0.0003560196623783757,0.49915,0.49995
