dataset,split,feature,wasserstein,mean_natural,mean_stego,abs_mean_difference,permutation_p
tgbl-wiki,test,action_probability,0.015259507256247576,0.12252459494452328,0.1377841022007709,0.015259507256247612,0.005
tgbl-wiki,test,surprise_bits,0.22992650930199784,5.814769089116334,5.584842579814336,0.22992650930199776,0.005
tgbl-wiki,test,rank_fraction,0.032793125000000006,0.9728111083552463,0.9400179833552463,0.03279312499999998,0.005
tgbl-wiki,test,is_top_action,0.0284,0.1183,0.1467,0.028399999999999995,0.005
tgbl-wiki,test,entropy_bits,0.0,3.7475734424980334,3.7475734424980334,0.0,1.0
tgbl-wiki,test,top_probability,0.0,0.29065776022328726,0.29065776022328726,0.0,1.0
tgbl-wiki,test,candidate_count,0.0,26.9399,26.9399,0.0,1.0
tgbl-wiki,test,unseen_context,0.0,0.8285,0.8285,0.0,1.0
tgbl-wiki,test,unseen_destination,0.019,0.5236,0.5046,0.018999999999999906,0.005
tgbl-wiki,test,same_as_previous,0.0264,0.7184,0.692,0.02640000000000009,0.005
tgbl-wiki,test,self_loop,0.0,0.0,0.0,0.0,1.0
tgbl-wiki,test,log_inter_event_gap,0.0,4.9835490492577925,4.9835490492577925,0.0,1.0
tgbl-wiki,validation,action_probability,0.01201043270980291,0.14978260110606897,0.1617930338158719,0.012010432709802926,0.005
tgbl-wiki,validation,surprise_bits,0.18832972556757574,5.957962320055429,5.769632594487854,0.18832972556757444,0.005
tgbl-wiki,validation,rank_fraction,0.02717,0.9896769502815194,0.9625069502815193,0.027170000000000027,0.005
tgbl-wiki,validation,is_top_action,0.0209,0.149,0.1699,0.020900000000000002,0.005
tgbl-wiki,validation,entropy_bits,0.0,3.407766651578652,3.407766651578652,0.0,1.0
tgbl-wiki,validation,top_probability,0.0,0.357626699336755,0.357626699336755,0.0,1.0
tgbl-wiki,validation,candidate_count,0.0,26.3479,26.3479,0.0,1.0
tgbl-wiki,validation,unseen_context,0.0,0.8102,0.8102,0.0,1.0
tgbl-wiki,validation,unseen_destination,0.019,0.5753,0.5563,0.019000000000000017,0.005
tgbl-wiki,validation,same_as_previous,0.0181,0.7476,0.7295,0.018100000000000005,0.005
tgbl-wiki,validation,self_loop,0.0,0.0,0.0,0.0,1.0
tgbl-wiki,validation,log_inter_event_gap,0.0,4.986330256099435,4.986330256099435,0.0,1.0
