section,dataset,detector,variant,auc,balanced_accuracy,eer
robustness,t_drive_cells,linear,timestamp_noise,0.53224297,0.5185500000000001,0.48250000000000004
ablation,t_drive_cells,linear,full,0.532556255,0.5185,0.48164999999999997
ablation,t_drive_cells,linear,no_probability,0.5037777,0.5031,0.498
ablation,t_drive_cells,linear,no_entropy,0.5307056950000001,0.5185500000000001,0.48185
ablation,t_drive_cells,linear,no_cold_start,0.5328688549999999,0.51835,0.4817
ablation,t_drive_cells,linear,no_temporal,0.52323683,0.513,0.487
robustness,t_drive_cells,forest,none,0.536801105,0.51905,0.481
robustness,t_drive_cells,forest,subsample_80,0.5344461953125,0.5186875,0.48168750000000005
robustness,t_drive_cells,forest,truncate_50,0.5376690999999999,0.5195,0.4805
robustness,t_drive_cells,forest,timestamp_noise,0.5369651799999999,0.5189,0.4808
ablation,t_drive_cells,forest,full,0.536801105,0.51905,0.481
ablation,t_drive_cells,forest,no_probability,0.52801296,0.5144500000000001,0.48550000000000004
ablation,t_drive_cells,forest,no_entropy,0.5361676,0.5191,0.4809
ablation,t_drive_cells,forest,no_cold_start,0.5368428049999999,0.5191,0.48095
ablation,t_drive_cells,forest,no_temporal,0.536502625,0.5191,0.4809
robustness,t_drive_cells,mlp,none,0.53608448,0.5188999999999999,0.48105
robustness,t_drive_cells,mlp,subsample_80,0.5333883203124999,0.515625,0.48325
robustness,t_drive_cells,mlp,truncate_50,0.53689652,0.5197,0.4806
robustness,t_drive_cells,mlp,timestamp_noise,0.535409515,0.5195,0.48329999999999995
ablation,t_drive_cells,mlp,full,0.53608448,0.5188999999999999,0.48105
ablation,t_drive_cells,mlp,no_probability,0.52286265,0.51345,0.48760000000000003
ablation,t_drive_cells,mlp,no_entropy,0.5286474099999999,0.51645,0.4857
ablation,t_drive_cells,mlp,no_cold_start,0.534330085,0.51785,0.48205
ablation,t_drive_cells,mlp,no_temporal,0.53368836,0.5182,0.4818
